"filling_avg_temp","filling_fq_Maximum_temperature..31","filling_fq_Precipitation_amount..0.1","filling_fq_Precipitation_amount..40","filling_fq_Snow_depth..1","filling_length_days","filling_since_nyear_days","filling_since_seed_days","filling_sk_Maximum_temperature..31","filling_sk_Precipitation_amount..0.1","filling_sk_Precipitation_amount..40","filling_sk_Snow_depth..1","filling_total_prec","generative_avg_temp","generative_fq_Maximum_temperature..31","generative_fq_Precipitation_amount..0.1","generative_fq_Precipitation_amount..40","generative_fq_Snow_depth..1","generative_length_days","generative_since_nyear_days","generative_since_seed_days","generative_sk_Maximum_temperature..31","generative_sk_Precipitation_amount..0.1","generative_sk_Precipitation_amount..40","generative_sk_Snow_depth..1","generative_total_prec","NA_avg_temp","NA_fq_Maximum_temperature..31","NA_fq_Minimum_temperature...15","NA_fq_Precipitation_amount..0.1","NA_fq_Precipitation_amount..40","NA_fq_Snow_depth..1","NA_fq_Snow_depth..4","NA_length_days","NA_sk_Maximum_temperature..31","NA_sk_Minimum_temperature...15","NA_sk_Precipitation_amount..0.1","NA_sk_Precipitation_amount..40","NA_sk_Snow_depth..1","NA_sk_Snow_depth..4","NA_total_prec","vegetative_avg_temp","vegetative_fq_Maximum_temperature..31","vegetative_fq_Precipitation_amount..0.1","vegetative_fq_Precipitation_amount..40","vegetative_fq_Snow_depth..1","vegetative_fq_Snow_depth..4","vegetative_length_days","vegetative_since_nyear_days","vegetative_sk_Maximum_temperature..31","vegetative_sk_Precipitation_amount..0.1","vegetative_sk_Precipitation_amount..40","vegetative_sk_Snow_depth..1","vegetative_sk_Snow_depth..4","vegetative_total_prec","critical_events","filling","generative","NA.","vegetative","area"
21.4,4,19,0,28,28,191,50,2,5,0,28,27.2,15.7913793103448,0,19,0,29,29,162,21,0,10,0,29,50.7,-0.455574912891986,1,53,148,0,141,143,287,1,12,18,0,109,100,442.3,11.9357142857143,0,15,0,21,0,21,141,0,12,0,21,0,59.1,968,51,48,486,36,28
19.1333333333333,0,20,0,33,33,180,53,0,4,0,33,69.1,16.1310344827586,0,18,0,29,29,151,24,0,11,0,29,66.4,2.58333333333333,0,26,130,0,169,109,279,0,16,21,0,153,104,466.8,11.1708333333333,0,13,0,24,0,24,127,0,4,0,24,0,29.1,970,53,47,434,37,30
15.6295454545455,0,21,0,44,44,193,54,0,6,0,44,112.3,15.341935483871,0,16,0,31,31,162,23,0,5,0,31,86.1,0.137126865671642,0,35,96,0,119,141,268,0,15,7,0,89,110,593.8,11.2760869565217,0,15,0,23,0,23,139,0,3,0,23,0,22.1,874,65,47,391,38,33.3
16.701282051282,0,23,0,39,39,178,44,0,6,0,39,75,16.3793103448276,0,18,0,29,29,149,15,0,4,0,29,110.1,2.09822695035461,0,21,141,1,161,114,282,0,5,15,1,99,108,502.9,14.5766666666667,0,10,0,15,0,15,134,0,5,0,15,0,9.9,898,62,47,438,25,38.2
20.1532258064516,0,22,0,31,31,187,60,0,9,0,31,52.6,12.6890243902439,0,11,0,41,41,146,19,0,3,0,41,111.8,2.51751824817518,0,19,146,0,192,70,274,0,13,16,0,139,44,388.2,12.7078947368421,0,9,0,19,0,19,127,0,3,0,19,0,51.9,878,53,52,427,28,32.5
15.3666666666667,0,27,0,45,45,198,57,0,20,0,45,77.1,14.3571428571429,0,16,0,35,35,163,22,0,5,0,35,96.1,2.96958174904943,0,7,121,0,182,75,263,0,3,19,0,133,73,440,11.3909090909091,0,14,0,22,0,22,141,0,4,0,22,0,8.2,903,72,51,385,36,31.4
16.49125,0,19,0,40,40,187,50,0,7,0,40,66.5,14.775,0,17,0,34,34,153,16,0,5,0,34,98.7,1.58641304347826,0,20,155,0,153,117,276,0,9,13,0,131,46,376.8,13.653125,0,14,0,16,0,16,137,0,9,0,16,0,18.8,895,59,51,445,30,33.3
14.4673469387755,0,20,0,49,49,197,58,0,5,0,49,129.4,13.9361111111111,0,21,0,36,36,161,22,0,6,0,36,74.1,1.22771317829457,0,11,114,0,135,110,258,0,5,23,0,71,79,485.6,11.6681818181818,0,16,0,22,0,22,139,0,10,0,22,0,21.8,840,69,57,370,38,31.2
21.0327586206897,1,25,0,29,29,189,49,1,12,0,29,5.1,14.2166666666667,0,24,0,36,36,153,13,0,12,0,36,81.3,2.30505226480836,0,21,150,0,169,116,287,0,7,13,0,158,101,347.8,15.7846153846154,0,13,0,13,0,13,140,0,13,0,13,0,0,992,55,60,456,26,33.2
12.6984615384615,0,25,0,65,65,204,70,0,6,0,65,173.9,13.6381578947368,0,17,0,38,38,166,32,0,8,0,38,58.3,-2.14304347826087,0,29,106,0,82,141,230,0,6,16,0,82,83,216.2,9.0390625,0,23,0,32,0,32,134,0,11,0,32,0,24.5,905,90,55,358,55,21
